English Name,Energy (kcal),Total Carbohydrate,Protein,Total Fat,Saturated Fat,Chol,Total Dietary Fiber,Total Sugars,Calcium,Sodium,Restaurant,Item type,main food type,ingredient_category,spicy,sweet,salty,sour,vegetiarian,gluten,milk,egg,fish,crustaceans,price
Fried_noodles_with_preserved_vegetable_and_squid,1100,120,41,56,9,330,17,11,110,2900,2,1,2,5,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,34
Fried_noodles_with_preserved_black_bean_and_assorted_pepper_and_beef,1100,110,41,55,0,75,0,0,88,2600,2,1,2,2,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,34
Fried_noodles_with_preserved_black_bean_and_assorted_pepper_and_sliced_pork,1100,110,42,55,0,76,0,0,82,2700,2,1,2,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,34
Fried_noodles_with_preserved_black_bean_and_assorted_pepper_and_spare_rib,1500,130,53,91,16,140,0,0,120,2900,2,1,2,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,34
Fried_noodles_with_preserved_black_bean_and_assorted_pepper_and_squid,1100,110,43,50,0,330,0,0,100,2500,2,1,2,5,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,34
Fried_noodles_with_bitter_melon_and_beef,1200,120,44,66,10,75,16,0,82,3100,2,1,2,2,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,34
Fried_noodles_with_bitter_melon_and_sliced_pork,1200,120,42,60,0,78,18,0,78,2700,2,1,2,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,34
Fried_instant_noodles_with_pork_chop,1200,99,47,68,17,89,0,0,89,2500,2,1,2,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,34
Braised_E-Fu_noodles,1300,130,33,72,10,65,11,0,85,2700,2,1,2,8,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,34
Fried_Udon_with_seafood,890,130,44,22,0,100,17,0,130,2700,2,1,2,5,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,38
Rice_in_soup_with_winter_melon_and_diced_pork,590,110,28,0,0,44,0,0,41,1500,2,1,3,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,28
Rice_in_soup_with_dried_fish_and_minced_pork,480,66,25,13,4,41,0,0,120,1800,2,1,3,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,28
Fried_rice_in_Yangzhou-style,1200,150,43,49,0,460,14,0,100,1900,2,1,3,5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,34
Fried_rice_in_Fujian-style,1400,200,57,45,0,390,17,0,110,3100,2,1,3,5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,38
Fried_rice_with_shredded_chicken_and_shrimp,1500,210,51,49,9,390,22,21,140,3000,2,1,3,3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,34
Fried_rice_with_pork_&_tomato_sauce,1300,170,40,50,0,270,15,11,120,2000,2,1,3,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,34
Fried_rice_with_diced_chicken_and_salted_fish,1400,190,48,46,0,440,12,0,96,2300,2,1,3,3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,38
Fried_rice_with_diced_chicken_and_dried_octopus,1500,180,61,56,12,630,21,2,120,2100,2,1,3,3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,38
Fried_rice_with_diced_chicken_and_pineapple,1500,180,45,57,10,400,15,0,95,2100,2,1,3,3,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,34
